HHID,HH size,Socialgroup,Religion,HHclassification,Land owned (hectares),Land possessed (hectares),Total monthly consumption expenditure (INR),Monthly income from non farm activity (INR),Monthly income from wage employment (INR),Monthly income from farming of animals (INR),Monthly income from crop production (INR),Total Monthly Income (INR),Frequency weight
72520202,2,9,4,1,0.45,0.45,8100,0,10166.67,3616.667,2298.333,16081.67,130
72520301,9,9,4,5,1.187,1.187,32200,0,15250,1203.333,5433.75,21887.08,52
72520401,4,9,4,1,1.418,1.62,24500,0,5916.667,4666.667,1973.333,12556.67,286
72520403,3,9,4,6,1.162,1.162,25000,0,40000,0,4300,44300,286
72520501,4,9,4,1,0.952,2.726,30000,0,0,2353.333,16270.83,18624.17,234
72520502,3,2,1,1,0.024,4.074,14900,0,7750,1883.333,891.6667,10525,234
72521201,4,2,4,1,0.012,4.872,16000,0,0,6986.667,47908.33,54895,5292
72521202,6,9,4,1,0.016,0.219,20000,0,0,0,1883.333,1883.333,5292
72521301,4,9,4,1,0.826,0.826,25000,0,0,2016.667,7534.333,9551,4190
72521302,9,9,4,1,0.154,0.178,25250,0,40833.33,7150,1977.083,49960.41,4190
72521401,6,9,4,1,1.231,1.231,20167,0,7000,4666.667,15822.5,27489.17,4851
72521402,5,9,4,1,1.029,1.029,17500,0,0,4766.667,10304.17,15070.83,4851
72521501,5,9,4,1,2.086,2.086,25000,0,0,3250,21442.58,24692.58,1323
72521502,9,9,4,1,3.924,3.924,35500,0,0,14386.67,79653.66,94040.33,1323
72523301,6,9,4,1,1.049,1.049,20000,0,1250,1066.667,2913.333,5230,2138
72523302,9,9,4,6,0.616,2.641,35317,0,3833.333,0,19511.67,23345,2138
72523402,9,9,4,1,2.037,2.037,25583,0,3666.667,4333.333,9330,17330,1026
72523501,7,3,4,4,4.086,4.086,40000,0,0,-466.6667,198925,198458.3,1796
72523502,5,9,4,1,0.008,1.628,15000,15000,1000,0,10184.33,26184.33,1796
72524201,3,9,4,9,1.255,0.04,21500,0,0,1383.333,0,8883.333,4361
72524202,6,2,1,2,0.073,0.073,26000,0,5000,7266.667,706.25,12972.92,4361
72524301,2,9,4,1,0.632,0.632,12500,0,0,333.3333,12691.67,13025,1745
72524302,4,9,4,1,0.624,0.624,15600,0,3333.333,373.3333,8522.917,12229.58,1745
72524401,2,9,4,1,1.442,0.429,22500,0,0,4873.333,1358.333,12898.33,3489
72524402,5,9,4,1,1.438,1.438,26600,0,0,7996.667,20300,28296.67,3489
