HHID,HH size,Socialgroup,Religion,HHclassification,Land owned (hectares),Land possessed (hectares),Total monthly consumption expenditure (INR),Monthly income from non farm activity (INR),Monthly income from wage employment (INR),Monthly income from farming of animals (INR),Monthly income from crop production (INR),Total Monthly Income (INR),Frequency weight
72556202,4,9,4,9,2.693,0.263,15000,0,6250,8516.667,1337.5,126104.2,5586
72556301,5,9,4,8,0.855,0.45,16100,0,11250,1986.667,2060.833,21130.83,1197
72556302,5,9,4,1,0.822,0.822,15500,0,0,1850,8877.5,10727.5,1197
72556401,3,9,4,1,1.085,1.085,17167,0,7083.333,2653.333,8696.667,18433.33,2394
72556402,4,9,4,1,2.43,3.645,15667,0,0,2150,39575,41725,2394
72556501,11,9,4,1,2.511,2.511,38833,13333.33,0,10733.33,34289.17,58355.84,3192
72556502,4,9,4,1,3.321,3.321,38500,0,0,4926.667,37688.33,42615,3192
72557202,5,9,4,5,0.041,0.041,9750,0,9166.667,1450,0,13616.67,2176
72557301,6,9,4,1,1.227,1.227,18000,0,0,4766.667,16985,21751.67,884
72557401,5,9,4,1,1.264,1.264,16050,0,0,1833.333,14340.83,16174.17,816
72557402,6,2,4,7,1.227,1.227,18000,0,0,1353.333,16935.83,18289.17,816
72557501,6,9,4,1,2.045,2.045,27500,0,0,11383.33,20855,32238.33,2584
72557502,6,9,4,1,1.057,1.057,20000,0,0,4713.333,12965.5,17678.83,2584
72558101,2,3,4,8,0.004,0.004,6700,0,5833.333,716.6667,0,6550,244
72558201,5,3,4,1,0.016,2.851,17750,0,9666.667,5766.667,8236.667,23670,183
72558202,11,2,4,6,0.016,0.016,18350,0,25583.33,1333.333,0,26916.67,183
72558203,5,3,4,3,0.122,0.122,13000,0,16333.33,7233.333,769.5833,24336.25,183
72558401,6,3,4,1,0.032,2.057,11300,0,6666.667,8966.667,11510,27143.33,31
72558402,6,3,4,1,0.032,2.057,11500,0,10416.67,12750,12593.33,35760,31
72558501,5,3,4,1,0.024,2.859,15917,0,2500,17333.33,11625,31458.33,31
72558502,10,3,1,1,0,18.237,15800,0,0,3366.667,46168.33,49535,31
72558503,5,9,4,1,4.819,9.274,31500,0,0,3666.667,49221.67,62888.34,31
72559201,5,9,4,1,2.045,0.628,17633,0,8833.333,8436.667,4360,45588.34,5681
72559202,4,3,4,4,0.008,0.008,8577,0,12000,-216.6667,0,11783.33,5681
72559301,7,3,4,4,0.364,0.364,15600,5366.667,0,2373.333,1242.917,10232.92,2347
72559302,6,3,4,6,0.364,0.364,12400,0,16250,4133.333,1301.25,22934.58,2347
72559401,10,9,1,6,1.555,1.555,28908,3333.333,17333.33,6366.667,16144.58,43177.92,1482
72559402,6,9,4,6,9.813,0.498,38100,0,26583.33,6123.333,591.6667,116631.7,1482
72559501,6,9,4,1,2.118,5.561,15025,0,0,3500,25674.58,29174.58,3458
72559502,5,9,4,1,1.235,2.855,14358,0,0,0,13092.5,25592.5,3458
72560202,9,2,2,9,0.012,0.219,25500,0,833.3333,1406.667,-1224,1016,6295
72560301,7,9,4,1,0.846,1.656,20000,0,0,2800,2959.333,5759.333,2671
72560302,4,9,1,1,0.944,4.657,20000,0,0,1033.333,-9865.833,-8832.5,2671
72560401,4,9,4,1,1.235,1.235,50000,0,8333.333,1266.667,13000.92,22600.92,2671
72560502,9,9,4,1,1.268,2.483,40000,0,0,5100,-2711.5,2388.5,6486
72561102,5,9,2,8,0.211,0.211,6000,0,8333.333,0,-212.5,8120.833,1113
72561202,5,3,1,8,0.008,0.008,8400,0,6666.667,-16.66667,0,6650,445
72561301,5,9,1,1,0.243,0.413,8000,0,10000,1400,3641.667,15875,312
72561302,3,9,1,6,0.288,0.288,7000,0,11666.67,700,1931.667,14298.33,312
72561401,4,9,1,1,1.243,1.243,8000,5666.667,2500,7950,2477.5,18594.17,178
72561402,4,9,1,1,0.923,0.923,9000,0,0,2266.667,1790,4056.667,178
72561501,5,9,1,1,3.159,3.159,16000,13333.33,0,1100,26902.5,41335.83,312
72561502,3,9,1,1,2.519,3.127,11000,0,0,-3540,9551.667,6011.667,312
72562201,4,1,4,6,1.029,1.029,18000,0,20000,-1866.667,12601.67,30735,4071
72562301,5,9,4,1,0.81,1.62,24000,0,0,12866.67,9835,22701.67,1551
72562302,13,9,4,1,0.632,0.632,29000,0,0,6416.667,5531.667,11948.33,1551
72562303,5,9,4,6,0.425,0.425,13000,0,7000,3413.333,4990,15403.33,1551
72562401,7,9,4,8,1.033,1.033,20500,0,10333.33,2066.667,13230,25630,582
72562501,3,9,4,1,1.434,10.344,90083,0,0,2433.333,27688.33,30121.67,582
72562502,6,9,4,1,1.033,3.058,27000,0,0,5600,11611.83,17211.83,582
72563201,4,1,9,6,0.134,0.134,10650,0,7000,816.6667,3183.333,11000,5606
72563202,4,2,1,4,0.016,0.016,10100,0,4000,453.3333,0,4453.333,5606
72563301,4,3,1,1,0.863,0.863,11000,0,0,0,9713.333,9713.333,5606
72563302,4,3,1,1,0.676,0.676,11250,0,0,3100,8205,11305,5606
72563401,4,9,4,1,0.838,4.078,14000,0,0,0,34041.67,34041.67,897
72563402,4,9,1,8,0.024,0.024,11300,0,5583.333,816.6667,0,6400,897
72563501,6,9,4,1,2.835,6.075,13000,0,0,7066.667,41763.33,48830,4485
72563502,3,9,4,1,4.605,4.605,16000,0,0,0,26116.67,26116.67,4485
72564102,5,9,4,1,0.454,0.859,15000,0,0,0,4750,4750,463
72564201,6,9,4,9,0.417,0.113,15500,0,7000,-800,-1449,7667.667,74
72564202,6,9,4,9,0.636,0.231,20000,0,0,1850,-602.6667,4580.667,74
72564301,3,9,4,9,0.66,0.66,15000,0,833.3333,-533.3333,10660.25,10960.25,259
72564302,7,9,4,9,0.98,0.98,34917,0,0,983.3333,10051.33,11034.67,259
72564402,4,9,4,1,1.013,1.013,20000,0,6666.667,-266.6667,8764.583,15164.58,259
72564501,5,9,4,1,1.418,5.468,25000,0,0,3860,14344.83,18204.83,185
72565201,2,3,1,2,0.008,0.008,3000,0,0,1933.333,0,1933.333,3690
72565202,4,3,1,8,0.223,0.243,8000,0,6250,2266.667,2175,10691.67,3690
72565301,9,9,1,1,0.223,0.223,20000,0,0,0,1779.167,1779.167,2583
72565302,4,3,1,6,0.632,0.632,12000,0,6000,1800,4700,12500,2583
72565401,4,3,1,1,1.632,1.632,12000,0,0,-166.6667,18004.17,17837.5,1845
72565402,4,9,1,1,1.021,1.021,9000,0,0,0,4983.333,4983.333,1845
72565501,5,9,4,1,7.189,7.189,18000,0,0,4066.667,264995.8,269062.5,2337
72565502,6,9,4,1,11.085,11.085,24000,0,0,0,102800,102800,2337
72566201,6,2,4,8,0.417,0.417,11000,0,7250,2786.667,3133.333,13170,25
72566202,4,2,4,7,0.065,0.47,8000,0,5500,600,2972.917,9072.917,25
72566203,5,2,4,6,0.024,0.024,7000,0,6833.333,533.3333,0,7366.667,25
72566301,4,2,4,6,1.037,1.037,11000,0,9000,2280,8998.75,20278.75,58
72566302,4,2,4,7,0.417,0.417,8000,0,3500,1133.333,5290,9923.334,58
72566303,5,2,4,7,0.417,0.417,9000,0,3500,1800,5191.25,10491.25,58
72566401,5,2,4,6,0.429,0.429,9000,0,7000,-166.6667,7203.333,14036.67,25
72566501,6,2,4,1,1.227,3.252,14000,0,0,0,18374.17,18374.17,25
72566502,5,9,4,1,0.822,3.252,12000,0,0,1466.667,22099.58,23566.25,25
72566503,5,9,4,1,0.822,3.252,12000,0,0,3350,20284.42,23634.42,25
72567201,4,2,1,8,0.008,0.008,6500,0,6666.667,1166.667,0,7833.333,2691
72567301,4,9,1,2,0.425,0.008,10000,0,0,133.3333,111.6667,2245,1047
72567302,4,9,4,7,1.247,2.057,16750,0,7000,4800,5125,16925,1047
72567401,2,9,4,4,1.652,1.652,12000,0,0,4500,562.5,5062.5,224
72567402,4,1,4,1,5.33,6.545,11150,0,0,6293.333,3039.167,9332.5,224
72567501,5,9,1,2,4.961,4.961,13800,0,0,-5700,1925,-3775,299
72567502,5,2,1,6,1.312,3.337,20000,0,60000,1133.333,2041.667,63175,299
72568201,5,2,1,6,0.061,0.061,13700,0,30916.67,1140,0,32056.67,4769
72568401,5,9,4,1,1.936,1.936,15000,0,0,3100,24984.83,28084.83,281
72568402,3,9,4,1,1.304,1.304,12500,0,0,6366.667,15685.42,22052.08,281
72568501,4,9,4,1,2.442,6.492,16500,0,0,4866.667,49716.67,54583.34,468
72568503,6,9,4,1,1.235,4.475,16200,0,0,1533.333,7553.833,9087.167,468
72568504,2,9,4,1,2.033,3.248,9000,0,0,0,19998.33,19998.33,468
72569201,3,2,1,6,0.036,0.041,8500,0,2750,1666.667,0,4416.667,57
72569501,5,9,4,1,8.323,8.323,28000,0,0,37066.67,60821.67,97888.34,57
72570301,5,9,4,1,0.632,0.632,17500,0,0,3500,5220.667,8720.666,382
72570501,4,9,4,1,1.28,5.33,12000,0,0,6893.333,42371.08,49264.41,763
72570502,4,9,4,1,1.239,3.264,16000,0,0,5063.333,25241.67,30305,763
72570503,4,9,4,1,7.29,7.29,14200,0,0,7550,120020,127570,763
72570504,12,9,4,1,3.706,3.706,35167,0,0,11506.67,15317.33,26824,763
72571102,4,2,1,8,0.008,0.008,7500,0,9833.333,2333.333,0,12166.67,668
72571201,3,2,1,6,0.036,0.036,8667,0,10000,1366.667,0,11366.67,401
72571202,4,2,1,8,0.008,0.008,7500,0,9833.333,2266.667,0,12100,401
72571301,5,9,4,1,0.814,0.814,27333,0,11000,800,7937.5,19737.5,89
72571302,5,2,4,1,0.458,1.268,15083,0,0,1746.667,8041.667,9788.333,89
72571401,5,9,4,1,1.134,7.209,12500,0,0,6633.333,41601.67,48235,89
72571402,3,9,4,1,1.754,17.954,20833,0,0,29100,35571.67,64671.67,89
72571502,4,9,4,1,5.038,5.038,16000,0,0,7600,24762.5,32362.5,267
72572201,3,9,4,1,0.77,0.162,10000,0,0,3333.333,0,11666.67,299
72572202,4,2,4,7,0.057,0.057,10750,0,14166.67,2700,579.1667,17445.83,299
72572301,6,2,4,8,0.429,0.429,12100,0,0,1033.333,3691.667,4725,2766
72572302,5,2,4,5,0.032,0.275,10050,0,5000,1916.667,654.1667,7570.833,2766
72572401,7,9,4,1,0,2.803,24000,0,0,3366.667,27819.17,31185.83,972
72572402,5,3,4,1,0.008,1.223,30000,0,0,3633.333,8676.667,12310,972
72572501,7,9,4,1,1.369,1.976,25250,0,0,2720,11000,13720,1196
72572502,7,9,4,1,1.215,2.511,34500,0,0,4040,26830.42,30870.42,1196
72573201,6,9,4,1,1.847,1.847,10000,0,0,7300,13812.5,21112.5,1353
72573202,6,2,1,4,0.328,0.328,15000,0,0,7600,2733.333,10333.33,1353
72573301,5,9,4,1,1.669,1.669,10833,0,0,10713.33,14350,25063.33,984
72573302,3,9,4,1,0.903,1.389,9000,0,0,7487.333,14575,22062.33,984
72573401,5,9,4,6,1.847,1.847,15000,0,5000,19760,16808.33,41568.34,615
72573402,3,9,4,6,1.037,1.037,12000,0,30000,0,8315,38315,615
72573501,3,9,4,1,2.147,2.147,15000,0,0,13456.67,18337.5,31794.17,492
72573502,3,9,4,1,14.183,19.043,21367,0,52000,25593.33,57166.67,134760,492
72574302,4,9,4,1,0.98,0.98,15000,0,0,466.6667,6878.333,7345,133
72574303,3,9,4,1,0.713,0.713,10000,0,7750,725,6100,14575,133
72574304,2,9,4,1,0.826,0.826,10000,0,0,9000,6317.5,15317.5,133
72574402,6,9,4,1,2.446,2.446,29500,0,0,27600,79065.84,106665.8,150
72574502,6,9,4,1,3.293,3.293,16000,0,0,-2306.667,28197.5,25890.83,175
72575201,7,2,4,7,0.016,0.016,7000,0,13083.33,-366.6667,0,12716.67,819
72575202,8,2,1,8,0.016,0.016,15000,0,15833.33,3016.667,0,18850,819
72575301,4,2,1,1,0.668,3.098,8000,0,0,6100,11269.17,17369.17,441
72575302,2,9,4,1,0.81,12.96,7000,0,0,7000,54600,61600,441
72575401,6,9,4,1,2.061,2.061,15000,0,0,4900,16225,21125,221
72575402,4,2,4,1,1.037,1.037,12000,0,2250,0,4704.167,10079.17,221
72575501,10,9,4,1,3.41,8.675,30000,0,0,47683.33,52483.33,100166.7,693
72575502,6,2,1,1,2.025,4.05,15000,0,0,7166.667,34585,41751.67,693
72576301,3,9,4,1,1.037,1.037,10500,0,0,2050,12015.42,14065.42,315
72576401,3,9,4,1,1.049,1.859,9000,0,0,10633.33,25197.25,35830.58,259
72576402,5,9,4,1,1.239,1.239,11500,0,0,370,14573.08,14943.08,259
72576501,5,9,4,1,1.855,2.26,17500,0,0,1481.667,21476.17,22957.83,56
72576502,6,9,4,1,2.871,2.871,7883,0,10300,3033.333,28202.58,41535.92,56
72577201,6,2,1,1,0.243,0.243,10000,0,0,233.3333,7846.667,8080,3588
72577202,11,9,2,2,0.057,0.057,27083,0,0,17850,0,17850,3588
72577301,4,9,4,1,0.454,0.454,12000,0,2666.667,-1390,10451.67,11728.33,2467
72577302,3,2,1,8,0.437,0.437,6000,0,5833.333,1766.667,8700.667,16300.67,2467
72577401,9,9,1,4,1.782,0.162,35000,0,0,5166.667,4908.333,30075,1121
72577402,6,9,4,1,1.92,1.92,18000,0,0,4600,15421.67,20021.67,1121
72577501,9,9,4,1,4.516,4.516,21000,0,14000,8650,18150.83,40800.84,673
72577502,5,9,4,1,4.066,4.066,9000,0,0,3833.333,22551.67,26385,673
72578201,4,9,4,1,0.575,0.575,16000,0,20000,0,2196,22196,3727
72578202,4,9,4,1,0.413,0.413,11250,0,0,216.6667,3558.333,3775,3727
72578301,4,9,4,1,0.62,0.62,9833,0,0,2800,6719.167,9519.166,3984
72578302,5,9,4,7,0.834,0.024,15000,0,8000,0,2240,16073.33,3984
72578401,6,9,4,1,1.239,1.239,20000,0,0,0,22736.67,22736.67,1157
72578402,5,9,4,1,1.636,1.636,15000,0,0,6866.667,20563.33,27430,1157
72578501,8,9,4,1,2.479,2.479,32500,0,0,3266.667,36783.33,40050,2056
72578502,4,9,4,3,2.479,2.479,10833,0,0,933.3333,16028.25,16961.58,2056
72579201,2,9,4,9,0.644,0.036,10000,0,0,1750,0,6833.333,2665
72579202,6,2,1,6,0.024,0.028,12000,0,1116.667,233.3333,0,1350,2665
72579302,4,9,4,1,0.425,0.83,15000,0,0,9333.333,5716.667,15050,5189
72579401,4,9,4,1,0.689,1.498,20000,0,0,3766.667,5133.333,8900,2525
72579402,6,9,4,1,2.458,2.458,18000,0,8000,2350,21254.17,31604.17,2525
72579501,5,9,4,1,2.114,2.114,15000,0,0,11350,12575,23925,1122
72579502,5,9,4,1,1.061,3.086,15000,0,0,9300,22829.17,32129.17,1122
72580201,4,2,4,6,0.166,0.166,17000,0,11400,7616.667,-254,18762.67,480
72580202,9,3,2,2,0.041,0.041,13300,0,6000,-100,0,5900,480
72580301,3,9,4,1,0.62,0.62,24200,0,0,1833.333,6985.667,8819,240
72580302,5,9,4,4,0.822,0.842,29000,0,0,5460,-774.9167,4685.083,240
72580401,4,9,4,1,1.037,1.037,23000,0,0,1816.667,11473.5,13290.17,137
72580402,4,9,4,1,0.271,1.486,15692,0,0,3426.667,-10199.67,-6773,137
72580501,5,3,2,2,0,0.041,12000,0,0,1033.333,0,1033.333,274
72580502,4,9,2,1,1.507,2.722,22000,0,0,1433.333,-9062.667,-7629.333,274
72581101,3,9,4,1,0.83,0.83,10000,0,0,0,5000,5000,161
72581102,1,9,4,9,2.151,0.227,5700,0,0,0,0,13333.33,161
72581201,4,3,4,8,0.016,0.016,9000,0,8333.333,3800,0,12133.33,194
72581202,4,3,4,8,0.215,0.215,10000,0,3000,0,2626.75,5626.75,194
72581301,5,9,4,6,0.421,0.016,15000,0,40000,0,1879.167,43295.84,129
72581302,4,3,2,1,0.62,0.62,9000,0,0,1533.333,5098.333,6631.667,129
72581401,6,9,4,1,0.624,0.624,12000,0,0,6833.333,7410,14243.33,86
72581402,5,9,4,1,1.094,1.094,17000,0,20000,2250,12115,34365,86
72581403,7,9,4,1,0.834,1.644,21000,0,0,5000,5854.167,60854.17,86
72581501,4,9,4,1,2.454,3.062,16000,0,0,2000,27779.17,29779.17,65
72582201,6,2,4,6,0.024,0.024,11900,0,10000,693.3333,0,10693.33,14109
72582202,3,2,4,4,0.016,0.016,9850,9986.667,7666.667,3480,0,21133.33,14109
72582301,6,2,4,6,0.433,0.433,25083,0,7500,0,5290,12790,851
72582302,2,2,4,1,0.822,0.822,8000,0,0,0,11302.33,11302.33,851
72582303,4,2,4,1,0.632,0.632,13100,0,0,2526.667,8312.5,10839.17,851
72582304,5,2,4,1,0.822,0.822,19750,0,0,0,7629.667,7629.667,851
72582401,5,2,4,1,1.644,1.644,26167,0,0,6716.667,23260.25,29976.92,487
72582402,5,2,4,1,0.429,1.239,20100,0,0,0,6465,6465,487
72583201,7,2,3,6,0.012,0.012,9000,0,4583.333,200,0,4783.333,257
72583202,7,2,3,6,0.008,0.008,10000,0,22583.33,2433.333,0,25016.67,257
72583301,6,9,4,1,0.644,0.644,15083,0,0,3200,2056.667,5256.667,385
72583302,5,9,3,8,0.429,0.429,10417,0,5250,1600,2825,9675,385
72583401,4,3,4,1,1.037,1.037,9833,0,0,2423.333,11084.17,13507.5,513
72583402,5,3,4,1,1.426,1.426,12000,0,0,0,8168,8168,513
72583501,3,3,4,1,1.766,1.766,10668,0,0,0,19695,19695,513
72584101,2,9,4,9,7.302,0.215,50000,0,0,960,0,132293.3,52
72584201,4,9,4,1,0.834,0.834,16500,0,0,0,4770,4770,52
72584202,5,9,4,8,0.834,0.834,19000,0,7500,2866.667,6016.667,16383.33,52
72584501,4,9,4,1,3.264,4.884,22000,0,0,0,26916.67,26916.67,114
72584503,6,9,4,1,1.251,3.681,38500,0,0,17433.33,13932.08,31365.42,114
72584504,4,9,4,1,1.114,20.351,34000,0,0,0,163348.5,163348.5,114
72584505,7,9,4,1,17.111,20.351,42000,0,0,49200,704856.3,754056.3,114
72584506,5,9,4,1,0.855,1.665,32000,0,0,5000,26702.92,31702.92,114
72585201,5,9,4,6,0.109,0.109,15000,0,1975,1550,369.1667,3894.167,392
72585202,6,3,4,4,0.008,0.008,12000,11733.33,0,333.3333,0,12066.67,392
72585301,2,9,4,2,0.616,0.616,7000,0,0,3133.333,3313.333,6446.667,1274
72585302,5,9,4,1,0.373,0.373,20000,0,10416.67,0,1652.5,12069.17,1274
72585402,7,9,4,1,1.644,1.644,36000,0,30416.67,4743.333,9747.167,44907.17,294
72585501,3,9,4,1,4.086,8.946,26500,0,0,5866.667,8300,14166.67,735
72585502,4,9,4,1,2.074,2.074,21000,0,0,3290,14565.83,17855.83,735
72586201,4,2,4,6,0.02,0.02,22800,0,7416.667,-2300,0,5116.667,605
72586202,6,2,4,4,0.016,0.016,21800,5000,7233.333,1346.667,0,13580,605
72586301,4,9,4,6,0.016,0.826,19200,0,10000,1440,14493.33,25933.33,666
72586302,4,9,4,1,0.96,0.96,16000,0,0,0,15918.33,15918.33,666
72586401,10,9,4,1,1.264,1.264,32500,0,0,1086.667,19155.67,20242.33,847
72586402,2,9,4,1,1.665,1.665,17000,0,0,4373.333,27637.5,32010.83,847
72586501,3,9,4,1,2.219,2.219,25500,0,0,5833.333,38496.67,44330,968
72586502,4,9,4,1,1.673,2.078,25700,0,0,3983.333,28698.33,32681.67,968
72587201,4,3,1,7,0.024,0.024,11000,0,7666.667,4290,0,11956.67,355
72587202,5,2,4,4,0.134,0.134,20600,20333.33,0,2716.667,4691.667,27741.67,355
72587301,5,2,4,1,0.64,0.64,13000,0,0,4766.667,10362.5,15129.17,264
72587302,4,9,4,4,0.255,0.255,20600,12833.33,6000,5253.333,708.3333,24795,264
72587401,4,3,1,1,1.903,1.903,24400,0,0,5600,11133.33,16733.33,165
72587402,6,3,4,1,1.454,1.454,20500,0,0,0,7670,7670,165
72587501,6,3,1,1,2.074,2.074,29583,0,0,9300,14017.5,23317.5,256
72587502,5,9,4,1,2.215,2.215,21667,0,0,7933.333,43429.17,51362.5,256
72589201,9,2,3,8,0.012,0.012,11000,0,12658.33,-190,0,12468.33,4190
72589202,5,2,3,7,0.004,0.004,6417,0,4183.333,0,0,4183.333,4190
72589301,2,3,4,9,0.028,0.028,6667,0,0,0,0,0,1323
72589302,2,9,4,1,0.437,1.045,5083,0,0,7156.667,5110.417,12267.08,1323
72589402,8,9,4,1,1.029,1.029,32000,0,0,4383.333,6981.667,11365,3087
72589501,4,9,4,1,1.219,2.232,10083,0,0,17100,11116.67,28216.67,4410
72589502,2,9,4,9,2.029,0.004,9833,0,0,2266.667,4740,15340,4410
72590201,6,2,1,2,0.041,0.041,7000,0,3166.667,2316.667,0,5483.333,11
72590202,5,2,1,8,0.016,0.016,7750,0,7833.333,6233.333,0,14066.67,11
72590301,5,2,1,1,0.425,0.425,10000,0,0,4050,9165,13215,14
72590302,3,2,1,1,0.417,0.417,4500,0,0,0,5775,5775,14
72590303,4,2,1,1,0.437,0.437,10000,0,0,5700,5796.667,11496.67,14
72590304,7,2,1,1,0.47,0.47,10500,0,5083.333,9133.333,15450,29666.67,14
72590305,7,2,1,1,0.895,0.895,12500,0,0,2666.667,17678.33,20345,14
72590306,8,2,1,1,0.486,0.51,15500,0,0,4333.333,9706.5,14039.83,14
72591201,6,2,4,6,0.012,0.012,16808,0,20166.67,5443.333,0,25610,4655
72591202,4,9,2,4,0.069,0.069,21500,27800,0,5800,314.5833,33914.58,4655
72591301,5,9,4,1,0.871,0.871,23808,0,0,38046.67,7755,45801.67,803
72591302,10,9,2,1,0.024,0.591,23358,0,7000,2100,9212.5,18312.5,803
72591401,6,9,4,6,0.992,0.992,23925,0,16216.67,20810,9091.833,46118.5,642
72591402,4,9,4,1,1.288,1.288,27783,0,0,46040,13745.83,59785.83,642
72591501,3,9,4,1,0.02,1.438,19883,0,0,22080,16962.67,39042.66,883
72591502,5,9,4,9,1.134,0.126,23083,0,15000,27166.67,50,56383.34,883
72592301,4,9,4,1,0.632,0.429,8267,0,0,2466.667,3479.583,9279.583,98
72592302,3,9,4,1,0,0.413,9520,0,2333.333,1583.333,3490.833,7407.5,98
72592401,7,9,4,1,1.989,1.989,21500,0,0,19466.67,19773.33,39240,229
72592402,6,9,4,1,1.203,1.203,23450,0,0,4383.333,12889.58,17272.92,229
72592403,4,9,4,1,1.519,1.519,19845,0,0,0,18301.08,18301.08,229
72592501,6,9,4,1,1.916,1.916,21220,0,0,3825,15035,18860,245
72592502,6,9,4,1,0.834,2.454,18467,0,0,8216.667,4959.333,16842.67,245
72593201,5,2,1,8,0.016,0.016,15000,0,7083.333,450,0,7533.333,3042
72593202,7,2,4,6,0.02,0.02,15333,0,16333.33,400,0,16733.33,3042
72593301,4,2,1,8,0.826,0.826,15000,0,8750,2033.333,294.1667,11077.5,2028
72593302,6,2,1,2,0.834,0.834,8800,0,0,866.6667,0,866.6667,2028
72593401,3,9,4,1,0.834,0.834,14500,0,0,10613.33,6625.833,17239.17,761
72593402,4,9,4,1,1.239,0.632,24583,0,0,10508.33,3590.833,17015.83,761
72593501,7,2,4,1,1.648,3.066,24592,0,7500,30506.67,7830,45836.66,254
72593502,6,9,4,1,3.2,3.2,29600,0,0,9386.667,16957.33,26344,254
72594201,4,3,1,2,0.012,0.113,14700,0,3000,16700,256.6667,19956.67,288
72594202,3,9,4,6,1.721,0.02,18000,0,25000,4570,0,50820,288
72594301,4,3,1,8,0.417,0.417,14633,0,8000,0,5562.5,13562.5,240
72594302,4,3,1,1,0.421,1.231,15833,0,0,0,11904.17,11904.17,240
72594401,5,9,4,1,1.944,1.944,24250,0,0,0,24187.08,24187.08,96
72594402,7,9,4,1,2.066,2.066,30000,0,26750,-350,28580,54980,96
72594501,3,9,4,1,1.636,8.926,18667,0,0,11400,23536.92,34936.91,432
72594502,5,9,4,1,1.029,8.319,24600,0,0,11316.67,69655.41,80972.08,432
72595201,5,3,2,2,0.02,0.02,12500,0,500,6500,0,7000,236
72595202,6,3,2,1,0.223,0.223,11000,0,0,11050,208.3333,11258.33,236
72595301,7,3,2,1,0.859,0.859,21667,0,0,6933.333,6233.333,13166.67,169
72595302,6,9,4,1,0.008,0.494,24667,0,0,9866.667,3502.5,13369.17,169
72595401,4,3,2,1,1.227,1.227,13000,0,0,4333.333,12358.33,16691.67,90
72595402,7,9,4,9,1.644,1.644,21000,0,10833.33,0,15533.33,26366.67,90
72595501,4,3,2,1,1.235,2.855,16500,0,0,3266.667,28750,32016.67,315
72595502,16,3,2,1,1.061,5.111,27500,0,5833.333,12533.33,61525,79891.66,315
72596201,4,9,4,6,1.247,0.032,14000,0,2500,2180,0,12180,896
72596202,5,9,4,1,1.652,0.032,14000,0,0,733.3333,0,13233.33,896
72596301,6,9,4,1,0.834,0.834,14833,0,0,7100,7557.5,14657.5,896
72596302,3,9,4,1,0.842,0.842,10000,0,0,0,8300.833,8300.833,896
72596401,3,9,4,1,1.235,1.235,10000,0,0,0,13841.67,13841.67,1315
72596402,5,9,4,1,1.037,1.037,14000,0,0,6666.667,10816.67,17483.33,1315
72596501,6,9,4,1,2.458,2.458,17867,0,0,5300,26190,31490,1852
72596502,5,9,4,1,1.64,1.64,13000,0,0,4566.667,15183.33,19750,1852
72597201,4,9,4,9,0.215,0.215,20000,0,0,12070,1140,13210,136
72597202,9,9,4,1,0.215,0.215,29000,30000,0,18830,1156.667,49986.67,136
72597301,6,9,4,2,2.754,0.729,20500,0,0,34233.33,1953.333,52853.33,91
72597302,6,9,4,2,2.754,0.729,22000,0,7500,33500,2061.667,59728.33,91
72597303,5,9,4,1,0.251,0.251,18500,0,0,9633.333,1103.333,10736.67,91
72597401,5,9,4,2,6.334,0.867,30000,0,0,25600,-1385,74215,68
72597402,7,9,4,2,6.334,0.867,30000,0,0,17533.33,-435,67098.34,68
72598201,4,9,1,6,0.008,0.13,20800,0,35000,5066.667,585.4167,40652.09,4995
72598202,5,2,4,8,0.004,0.012,4500,0,3900,1533.333,-280,5153.333,4995
72598301,5,9,4,1,0.952,0.952,21650,0,0,12266.67,9283.333,21550,3469
72598401,5,9,4,1,1.863,3.281,27833,0,0,9183.333,27346.67,36530,833
72598402,7,9,1,1,1.033,1.033,18833,0,10000,10983.33,11056.25,32039.58,833
72598501,5,9,1,1,4.082,4.082,27750,0,40185.17,12066.67,30303.75,82555.59,694
72598502,9,9,4,1,2.057,2.462,41267,0,45000,5500,25185.42,75685.41,694
72599201,5,2,4,8,0.016,0.016,12125,0,8000,1800,0,9800,4301
72599202,6,2,4,8,0.008,0.097,18050,0,13816.67,0,297.0833,14113.75,4301
72599301,6,9,4,8,0.356,0.356,25000,0,8000,9766.667,2926.667,20693.33,782
72599302,5,9,4,9,0.446,0.122,29367,0,0,1746.667,1083.75,9080.416,782
72599401,4,2,4,8,0.008,1.061,21800,0,15041.67,-983.3333,3004.25,17062.58,196
72599402,11,9,4,1,1.705,4.945,40417,0,0,20266.67,36020,56286.66,196
72599501,4,9,4,1,2.078,5.318,24792,0,0,1950,27599.25,29549.25,1466
72599502,7,9,4,1,3.949,3.949,36250,0,0,3666.667,53824.17,57490.84,1466
72920201,6,3,1,6,0.211,0.211,20592,0,8666.667,-159,535,9042.667,7581
72920202,5,3,1,6,0.008,0.008,17233,0,30000,4200,0,34200,7581
72920301,5,3,1,1,0.413,0.413,14767,0,6000,-250,1631.667,7381.667,10973
72920302,4,3,4,1,0.324,0.68,13883,0,0,1810,2324.167,4134.167,10973
72920401,5,3,4,1,0.992,0.992,16683,27866.67,5500,4720,5611.667,43698.33,4589
72920402,3,3,4,1,1.166,1.166,10767,0,0,8570,10097.08,18667.08,4589
72920501,8,3,1,1,2.296,4.321,31683,0,0,1883.333,24641.75,26525.08,1796
72920502,4,3,1,6,2.122,2.122,19000,7300,14166.67,0,16057.58,37524.25,1796
